week_id,start_of_week,end_of_week,holiday_type,holiday_date
246,1994-05-26,1994-06-01,"USDecorationMemorialDay, USMemorialDay","1994-05-30, 1994-05-30"
247,1994-06-02,1994-06-08,NA,NA
248,1994-06-09,1994-06-15,NA,NA
249,1994-06-16,1994-06-22,NA,NA
250,1994-06-23,1994-06-29,NA,NA
251,1994-06-30,1994-07-06,USIndependenceDay,1994-07-04
252,1994-07-07,1994-07-13,NA,NA
253,1994-07-14,1994-07-20,NA,NA
254,1994-07-21,1994-07-27,NA,NA
255,1994-07-28,1994-08-03,NA,NA
256,1994-08-04,1994-08-10,NA,NA
257,1994-08-11,1994-08-17,NA,NA
258,1994-08-18,1994-08-24,NA,NA
259,1994-08-25,1994-08-31,NA,NA
260,1994-09-01,1994-09-07,USLaborDay,1994-09-05
261,1994-09-08,1994-09-14,NA,NA
262,1994-09-15,1994-09-21,NA,NA
263,1994-09-22,1994-09-28,NA,NA
264,1994-09-29,1994-10-05,NA,NA
265,1994-10-06,1994-10-12,USColumbusDay,1994-10-10
266,1994-10-13,1994-10-19,NA,NA
267,1994-10-20,1994-10-26,NA,NA
268,1994-10-27,1994-11-02,USHalloween,1994-10-31
269,1994-11-03,1994-11-09,USElectionDay,1994-11-08
270,1994-11-10,1994-11-16,USVeteransDay,1994-11-11
271,1994-11-17,1994-11-23,NA,NA
272,1994-11-24,1994-11-30,USThanksgivingDay,1994-11-24
273,1994-12-01,1994-12-07,NA,NA
274,1994-12-08,1994-12-14,NA,NA
275,1994-12-15,1994-12-21,NA,NA
276,1994-12-22,1994-12-28,USChristmasDay,1994-12-25
277,1994-12-29,1995-01-04,USNewYearsDay,1995-01-01
278,1995-01-05,1995-01-11,NA,NA
279,1995-01-12,1995-01-18,USMLKingsBirthday,1995-01-16
280,1995-01-19,1995-01-25,USInaugurationDay,1995-01-20
281,1995-01-26,1995-02-01,NA,NA
282,1995-02-02,1995-02-08,NA,NA
283,1995-02-09,1995-02-15,USLincolnsBirthday,1995-02-12
284,1995-02-16,1995-02-22,"USPresidentsDay, USWashingtonsBirthday","1995-02-20, 1995-02-22"
285,1995-02-23,1995-03-01,NA,NA
286,1995-03-02,1995-03-08,USCPulaskisBirthday,1995-03-06
287,1995-03-09,1995-03-15,NA,NA
288,1995-03-16,1995-03-22,NA,NA
289,1995-03-23,1995-03-29,NA,NA
290,1995-03-30,1995-04-05,NA,NA
291,1995-04-06,1995-04-12,NA,NA
292,1995-04-13,1995-04-19,USGoodFriday,1995-04-14
293,1995-04-20,1995-04-26,NA,NA
294,1995-04-27,1995-05-03,NA,NA
295,1995-05-04,1995-05-10,NA,NA
296,1995-05-11,1995-05-17,NA,NA
297,1995-05-18,1995-05-24,NA,NA
298,1995-05-25,1995-05-31,"USDecorationMemorialDay, USMemorialDay","1995-05-30, 1995-05-29"
299,1995-06-01,1995-06-07,NA,NA
300,1995-06-08,1995-06-14,NA,NA
301,1995-06-15,1995-06-21,NA,NA
302,1995-06-22,1995-06-28,NA,NA
303,1995-06-29,1995-07-05,USIndependenceDay,1995-07-04
304,1995-07-06,1995-07-12,NA,NA
305,1995-07-13,1995-07-19,NA,NA
306,1995-07-20,1995-07-26,NA,NA
307,1995-07-27,1995-08-02,NA,NA
308,1995-08-03,1995-08-09,NA,NA
309,1995-08-10,1995-08-16,NA,NA
310,1995-08-17,1995-08-23,NA,NA
311,1995-08-24,1995-08-30,NA,NA
312,1995-08-31,1995-09-06,USLaborDay,1995-09-04
313,1995-09-07,1995-09-13,NA,NA
314,1995-09-14,1995-09-20,NA,NA
315,1995-09-21,1995-09-27,NA,NA
316,1995-09-28,1995-10-04,NA,NA
317,1995-10-05,1995-10-11,USColumbusDay,1995-10-09
318,1995-10-12,1995-10-18,NA,NA
319,1995-10-19,1995-10-25,NA,NA
320,1995-10-26,1995-11-01,USHalloween,1995-10-31
321,1995-11-02,1995-11-08,USElectionDay,1995-11-07
322,1995-11-09,1995-11-15,USVeteransDay,1995-11-11
323,1995-11-16,1995-11-22,NA,NA
