store,week,brand,upc,qty,price,sales_indicator,city,price_tier,zone,zip,address,latitude,longtitude,start_of_week,is_holiday_week,imported
86,103,BUDWEISER BEER,1820000016,10,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-29,TRUE,domestic
86,103,CORONA EXTRA BEER,8066095605,2,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-29,TRUE,imported
86,103,LOWENBRAU BEER,3410021505,40,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-29,TRUE,imported
86,103,MILLER GENUINE DRAFT,3410000554,17,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-08-29,TRUE,domestic
86,104,BUDWEISER BEER,1820000016,27,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-05,FALSE,domestic
86,104,CORONA EXTRA BEER,8066095605,25,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-05,FALSE,imported
86,104,LOWENBRAU BEER,3410021505,36,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-05,FALSE,imported
86,104,MILLER GENUINE DRAFT,3410000554,21,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-05,FALSE,domestic
86,105,BUDWEISER BEER,1820000016,22,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-12,FALSE,domestic
86,105,CORONA EXTRA BEER,8066095605,12,4.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-12,FALSE,imported
86,105,LOWENBRAU BEER,3410021505,19,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-12,FALSE,imported
86,105,MILLER GENUINE DRAFT,3410000554,116,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-12,FALSE,domestic
86,106,BUDWEISER BEER,1820000016,38,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-19,FALSE,domestic
86,106,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-19,FALSE,imported
86,106,LOWENBRAU BEER,3410021505,21,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-19,FALSE,imported
86,106,MILLER GENUINE DRAFT,3410000554,122,2.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-19,FALSE,domestic
86,107,BUDWEISER BEER,1820000016,31,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-26,FALSE,domestic
86,107,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-26,FALSE,imported
86,107,LOWENBRAU BEER,3410021505,40,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-26,FALSE,imported
86,107,MILLER GENUINE DRAFT,3410000554,60,3.59,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-09-26,FALSE,domestic
86,108,BUDWEISER BEER,1820000016,28,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-03,FALSE,domestic
86,108,CORONA EXTRA BEER,8066095605,5,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-03,FALSE,imported
86,108,LOWENBRAU BEER,3410021505,61,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-03,FALSE,imported
86,108,MILLER GENUINE DRAFT,3410000554,56,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-03,FALSE,domestic
86,109,BUDWEISER BEER,1820000016,34,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-10,TRUE,domestic
86,109,CORONA EXTRA BEER,8066095605,3,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-10,TRUE,imported
86,109,LOWENBRAU BEER,3410021505,18,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-10,TRUE,imported
86,109,MILLER GENUINE DRAFT,3410000554,35,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-10,TRUE,domestic
86,110,BUDWEISER BEER,1820000016,20,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-17,FALSE,domestic
86,110,CORONA EXTRA BEER,8066095605,11,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-17,FALSE,imported
86,110,LOWENBRAU BEER,3410021505,10,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-17,FALSE,imported
86,110,MILLER GENUINE DRAFT,3410000554,54,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-17,FALSE,domestic
86,111,BUDWEISER BEER,1820000016,33,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-24,FALSE,domestic
86,111,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-24,FALSE,imported
86,111,LOWENBRAU BEER,3410021505,13,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-24,FALSE,imported
86,111,MILLER GENUINE DRAFT,3410000554,17,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-24,FALSE,domestic
86,112,BUDWEISER BEER,1820000016,14,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-31,TRUE,domestic
86,112,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-31,TRUE,imported
86,112,LOWENBRAU BEER,3410021505,31,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-31,TRUE,imported
86,112,MILLER GENUINE DRAFT,3410000554,16,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-10-31,TRUE,domestic
86,113,BUDWEISER BEER,1820000016,21,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-07,TRUE,domestic
86,113,CORONA EXTRA BEER,8066095605,4,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-07,TRUE,imported
86,113,LOWENBRAU BEER,3410021505,31,3.29,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-07,TRUE,imported
86,113,MILLER GENUINE DRAFT,3410000554,20,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-07,TRUE,domestic
86,114,BUDWEISER BEER,1820000016,9,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-14,FALSE,domestic
86,114,CORONA EXTRA BEER,8066095605,6,5.79,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-14,FALSE,imported
86,114,LOWENBRAU BEER,3410021505,20,3.99,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-14,FALSE,imported
86,114,MILLER GENUINE DRAFT,3410000554,19,3.49,FALSE,Chicago,medium,2,60618,3350 Western Ave,41.9423532,-87.6899901,1991-11-14,FALSE,domestic
