gvkey,conm,price_2019,price_2020,price_2021,price_2022,price_2023,price_2024,eps_2019,eps_2020,eps_2021,eps_2022,eps_2023,eps_2024
251638,DRAGON MINING LTD,1.94,1.95,1.4,0.98,1.67,NA,0.0455,NA,NA,NA,NA,NA
285561,DRAGON MOUNTAIN GOLD LTD,0.02,0.02,0.02,0.012,0.009,0.006,-0.0027,-0.0027,-0.0026,-0.0025,-0.0013,-7e-4
350627,DRAGONFLY BIOSCIENCES LTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279626,DREADNOUGHT RESOURCES LTD,0.008,0.025,0.036,0.097,0.047,0.016,-9e-4,-7e-4,-6e-4,-5e-4,-0.0018,-0.0018
322915,DREAMSCAPE NETWORKS LTD,0.265,NA,NA,NA,NA,NA,0.0145,NA,NA,NA,NA,NA
321849,DRONESHIELD LTD,0.1,0.155,0.195,0.31,0.74,NA,-0.036,-0.0196,-0.0133,-0.0022,0.0201,NA
318811,DTI GROUP LTD,0.024,0.022,0.018,0.019,0.02,0.009,-0.0442,-0.0091,1e-4,2e-4,-0.0021,-0.0056
253398,DUBBER CORP LTD,1.6,1.04,3.57,0.555,0.145,0.03,-0.0622,-0.093,-0.1325,-0.2793,-0.2253,-0.0876
339026,DUG TECHNOLOGY LTD,NA,1.28,0.905,0.52,1.9,2.53,NA,NA,-0.1658,-0.0813,0.0424,0.0234
318151,DUKETON MINING LTD,0.22,0.23,0.385,0.28,0.305,0.12,-0.0245,0.1619,0.0264,-0.0766,-0.0234,-0.0285
343951,DURATEC LIMITED,NA,NA,0.38,0.3825,1.29,1.42,NA,NA,0.0323,0.0324,0.0791,0.0866
340392,DUSK GROUP LIMITED,NA,NA,3.15,1.95,1,1.155,NA,NA,0.3511,0.2968,0.1861,0.0685
322467,DUXTON WATER LTD,1.3,1.35,1.55,1.79,1.53,NA,0.0636,0.0728,0.0713,0.0837,0.048,NA
278119,DWS LTD,1.04,1.175,NA,NA,NA,NA,0.0781,0.057,NA,NA,NA,NA
327032,DXN LIMITED,0.068,0.023,0.01,0.008,0.002,0.079,-0.035,-0.0257,-0.0045,-0.005,-0.0057,-0.0155
356597,DY6 METALS LTD,NA,NA,NA,NA,0.14,0.045,NA,NA,NA,NA,-0.1045,-0.0268
338975,DYNAMIC GROUP HOLDINGS LTD,NA,0.37,0.43,0.36,0.255,0.26,NA,NA,0.0307,0.0181,0.0155,-0.062
355181,DYNAMIC METALS LTD,NA,NA,NA,NA,0.205,0.195,NA,NA,NA,NA,-0.0366,0.059
274690,DYNASTY METALS AUSTRALIA,0.06,NA,NA,NA,NA,NA,-0.0022,NA,NA,NA,NA,NA
324114,E-PLUS LTD,NA,NA,NA,0.15,0.15,NA,-0.0078,-0.0087,-0.0044,-0.0021,-0.0026,NA
210263,E3SIXTY LTD,NA,NA,NA,NA,NA,NA,-0.0491,NA,NA,NA,NA,NA
287875,E79 GOLD MINES LIMITED,NA,NA,NA,0.1,0.07,0.028,NA,NA,NA,NA,NA,NA
221877,EAGERS AUTOMOTIVE LTD,3.03,13.98,14.28,13.49,14.16,NA,-0.3941,0.7138,1.2838,1.2132,1.1074,NA
324881,EAGLE HEALTH HOLDI,0.14,NA,NA,NA,NA,NA,0.0264,NA,NA,NA,NA,NA
326562,EAGLE MOUNTAIN MIN,0.18,0.33,0.795,0.215,0.077,0.05,-0.0741,-0.0368,-0.1208,-0.1296,-0.0476,-0.0197
294057,EARLYPAY LTD,0.475,0.33,0.455,0.44,0.255,0.185,0.0419,0.0174,0.0318,0.047,-0.0268,0.0086
313562,EARTHS ENERGY LIMITED,0.059,0.05,0.037,0.041,0.041,0.018,-0.0013,-0.0028,-0.0123,0.0047,-0.0019,-0.0028
343920,EAST 33 LIMITED,NA,NA,0.19,0.031,0.031,0.022,NA,NA,NA,NA,NA,NA
287926,EAST ENERGY RESOURCES LTD,0.003,0.036,0.036,NA,NA,NA,-6e-4,-0.0022,0.0026,NA,NA,NA
350258,EASTERN METALS LTD,NA,NA,NA,0.14,0.033,0.02,NA,NA,NA,-0.0656,-0.0451,-0.0225
288926,EASTERN RESOURCES LIMITED,0.005,0.009,0.038,0.031,0.01,0.004,-0.0014,-0.0011,-0.0011,-0.0033,-6e-4,-7e-4
201739,EBOS GROUP LTD,25,24.44,35.3,37.61,34.2,36.14,0.8981,1.0059,1.1319,1.1452,1.3293,1.4131
296321,ECHO IQ LIMITED,0.042,0.046,0.18,0.165,0.195,0.225,-7e-4,-0.0119,-0.0108,-0.0165,-0.0184,-0.0109
295535,ECHO RESOURCES LTD,0.335,NA,NA,NA,NA,NA,-0.0497,NA,NA,NA,NA,NA
296882,ECLIPSE METALS LTD,0.002,0.01,0.06,0.0215,0.013,0.006,-3e-4,-3e-4,-4e-4,-8e-4,-0.0013,-6e-4
293435,ECO SYSTEMS LTD,0.07,0.07,NA,NA,NA,NA,-0.0054,-0.0079,NA,NA,NA,NA
331130,ECOFIBRE LTD,3.04,2.5,0.845,0.23,0.18,0.032,0.0228,0.0443,-0.0216,-0.0441,-0.1189,-0.118
314652,ECOGRAF LTD,0.092,0.185,0.705,0.32,0.11,0.092,-0.0119,-0.0091,-0.014,-0.0167,-0.0162,-0.0125
332970,ECS BOTANICS HOLDINGS LTD,0.047,0.023,0.038,0.021,0.021,0.019,NA,-0.009,-0.0064,-0.0011,4e-4,0.0016
277955,EDEN INNOVATIONS LTD,0.045,0.026,0.021,0.0095,0.003,0.002,-0.006,-0.0053,-0.0029,-0.003,-0.0064,-0.0022
271317,EDU HOLDINGS LIMITED,0.2,0.15,0.115,0.16,0.1,NA,0.0086,-0.0397,-0.0049,-0.0342,-0.0171,NA
