stock_id,tic,prc,ret,shrout,vol
70578,ECL,198.22,-6.55E-04,285140,218971
71563,TFC,37.06,0.003792,1333668,2069382
72726,STT,73.87,-0.046347,308584,491483
73139,SYK,335.48001,0.120283,379938,324742
75034,BKR,28.5,-0.166179,1000881,2187638
75154,CCL,16.58,-0.105717,1119446,6896761
75186,SCHW,62.92,-0.085465,1771682,1874167
75510,ADBE,617.78003,0.035501,452000,547834
75591,IEX,211.5,-0.022892,75626,74382
75607,GEN,23.48,0.028922,636910,678592
75694,TECH,70.32,-0.088647,157142,207140
75819,VTR,46.39,-0.069222,402381,427304
75825,EOG,113.79,-0.051674,583150,622061
75828,EA,137.58,0.005628,268192,335700
75912,PTC,180.64999,0.032522,119552,179881
76076,CSCO,50.18,9.9e-4,4050000,3755776
76082,CTRA,24.88,-0.025078,752192,1414138
76095,HOLX,74.44,0.041848,234732,369541
76185,TYL,422.75,0.011073,42124,38195
76226,PARA,14.59,-0.013523,612000,3317769
76230,TRMB,50.86,-0.043985,246500,212745
76605,AZO,2762.12988,0.06827,17292,32756
76614,REGN,942.78003,0.073427,107944,116450
76709,IDXX,515.08002,-0.072012,83032,95160
76712,AES,16.68,-0.124545,669629,1208000
76744,VRTX,433.38,0.065104,257695,308189
76795,ZBRA,239.55,-0.123587,51379,82026
76841,BIIB,246.66,-0.046798,144900,199529
77037,ODFL,391.01999,-0.035305,108965,136754
77129,KIM,20.2,-0.052088,674074,1388471
77178,QCOM,148.50999,0.026827,1116000,1867268
77274,GILD,78.26,-0.033946,1246042,1580401
77338,ROP,537,-0.01361,106900,101987
77357,SNPS,533.34998,0.035812,152536,356538
77496,MHK,104.25,0.007246,63682,155625
77605,BSX,63.26,0.094274,1464983,1473206
77649,STE,218.95,-0.004094,98800,81729
77661,DHI,142.91,-0.059679,331817,647001
77702,SBUX,93.03,-0.031039,1132220,1969021
77730,TSN,54.76,0.018791,286351,469366
78975,INTU,631.33002,0.011519,280025,241558
78987,MCHP,85.18,-0.055445,540388,1151515
79057,CB,245,0.084071,407990,423794
79094,JBL,125.29,-0.016562,127546,301399
79103,ORLY,1023.04999,0.076804,59073,85578
79145,RCL,127.5,-0.015368,256235,499359
79323,ALL,155.25,0.109087,261687,335470
79452,CPT,93.84,-0.05489,106771,229788
79545,BWA,33.9,-0.054393,235055,518146
79547,EQR,60.19,-0.01586,379725,501403
79637,UHS,158.81,0.041787,61007,102712
79698,IT,457.44,0.014032,77949,81860
79782,REG,62.67,-0.064627,184133,269560
79785,NVR,7075.29004,0.010691,3179,4258
79906,INCY,58.77,-0.064023,224287,329017
80080,EMN,83.55,-0.069806,118564,224362
80100,SPG,138.61,-0.028253,326239,301539
80183,MAA,126.38,-0.04916,116688,237205
80191,ALB,114.74,-0.205842,117353,541869
80204,MLM,508.42001,0.019062,61807,55444
80286,TSCO,224.60001,0.044506,107917,298453
80320,CPRT,48.04,-0.019592,961311,857527
80381,AVB,179.00999,-0.043852,142015,188776
80681,ESS,233.27,-0.059168,64185,87603
81045,O,54.39,-0.048302,831787,1902688
81055,COF,135.32001,0.032032,380847,596966
81061,MCK,499.89001,0.079723,133062,146254
81481,DLTR,130.62,-0.080465,217872,469604
81540,COR,232.67999,0.132924,199480,283640
81655,DRI,162.58,-0.002495,119411,212986
81677,WAB,131.57001,0.036801,179159,195887
81736,RMD,190.2,0.105685,147089,212073
81774,FCX,39.69,-0.06413,1433977,2654168
82276,ACGL,82.43,0.109869,373400,336542
82303,EG,384.97,0.088778,43390,75140
82307,DVA,108.16,0.032455,91300,159366
82515,POOL,371.25,-0.068872,38355,53301
82581,HSIC,74.84,-0.011491,129248,199781
82598,NTAP,87.2,-0.005218,206000,364254
82642,EL,131.99001,-0.097504,232305,583035
82651,WAT,317.70999,-0.034991,59127,83620
82775,HIG,86.96,0.081861,300770,342568
83143,IRM,67.52,-0.035153,291990,292390
83443,BRK,383.73999,0.075927,1308070,734677
83597,FDS,475.92001,-0.002369,38086,38423
83621,ANSS,327.82999,-0.096589,86906,259160
84262,STLD,120.69,0.021931,160018,283052
84373,DGX,128.42999,-0.063389,112435,232779
84381,ROK,253.28,-0.184231,114582,181024
84761,TTWO,164.92999,0.024728,170586,235157
84767,ARE,120.9,-0.046304,174968,220087
84769,APH,101.1,0.019873,598310,575406
84788,AMZN,155.2,0.021456,10387381,9505252
85058,BXP,66.5,-0.052302,156940,335383
85072,RL,143.67,-0.003675,39752,152021
85257,AME,162.05,-0.017224,230799,179531
85269,VLO,138.89999,0.076692,340453,680321
85348,YUM,129.49001,-0.008955,280308,323868
85459,CHRW,84.09,-0.026624,116768,257445
85592,PLD,126.69,-0.049587,923971,657302
85621,MTD,1197.18994,-0.013001,21684,33928
85631,ADSK,253.81,0.042427,213915,251099
85663,URI,625.40002,0.090649,67192,156116
85753,VRSN,198.88,-0.034376,101300,95158
85792,PWR,194.05,-0.100788,145285,207542
85913,MAR,239.73,0.063057,290540,276501
85914,BBY,72.49,-0.073965,215396,606067
86111,AMT,195.64999,-0.09371,466165,456130
86136,SRE,71.56,-0.04242,629328,609719
86158,CTSH,77.12,0.021051,501413,775998
86228,RSG,171.12,0.037657,314637,236474
86288,CSGP,83.48,-0.044742,408100,344282
86339,CCI,108.25,-0.060248,434000,604768
86356,EBAY,41.07,-0.058459,517000,1107957
86580,NVDA,615.27002,0.242418,2464000,9656674
86783,BKNG,3507.46997,-0.011206,34398,49077
86868,GS,384.01001,-0.004562,326112,526342
86964,FFIV,183.7,0.026372,58806,108570
86979,JNPR,36.96,0.253731,320272,1830603
86996,SBAC,223.86,-0.117584,108050,166117
87055,COST,694.88,0.052721,443728,437232
87137,DVN,42.02,-0.072406,640700,1798938
87267,BLK,774.31,-0.046181,148762,139867
87299,AKAM,123.23,0.041234,151233,271906
87432,A,130.10001,-0.064231,293004,302301
87445,TDY,418.47,-0.062336,47185,47173
87447,UPS,141.89999,-0.097501,723257,926128
87541,PKG,165.88,0.018231,89624,160833
87657,EW,78.47,0.029115,606500,721989
87717,EXPD,126.33,-0.00684,145389,228773
87842,MET,69.32,0.048238,740190,819895
88031,MNST,55.02,-0.044958,1041571,1185084
88182,ON,71.13,-0.14845,427329,1788125
88281,CRL,216.28,-0.08511,51297,125470
88352,ISRG,378.22,0.121117,352326,418391
88661,TPR,38.79,0.05379,229186,672803
88664,JKHY,165.83,0.014809,72868,100798
88837,GRMN,119.49,-0.070406,191331,157010
88860,ALGN,267.32001,-0.02438,75075,171389
88873,GPN,133.23,0.049055,260389,433414
89003,FIS,62.26,0.036457,592484,1186094
89006,MDLZ,75.27,0.03921,1346477,1382625
89017,WTW,246.3,0.021144,102538,79003
89031,AXON,249.06,-0.035884,75301,74510
89070,ZBH,125.6,0.032046,208981,353132
89071,ACN,363.88,0.040637,626992,432548
89138,BG,88.09,-0.12739,145288,349688
89179,ELV,493.44,0.046399,234959,273186
89195,PFG,79.1,0.005466,236438,184765
89258,PRU,104.93,0.011764,361000,279747
89269,CNC,75.31,0.014823,534201,637871
89393,NFLX,564.10999,0.158622,432760,1442434
89508,KMX,71.18,-0.072452,157921,411757
89525,CMCSA,46.54,0.067959,3962413,3638510
89533,WYNN,94.43,0.03644,111737,401679
89617,EQIX,829.77002,0.030271,94479,82761
89626,CME,205.84,-0.022602,359231,429759
89641,STX,85.68,0.003631,209511,580126
89781,MOH,356.44,-0.013479,58300,84364
89866,LKQ,46.67,-0.023436,267200,321487
90038,AIZ,167.95,-0.003205,52591,73174
90071,NRG,53.04,0.033801,225764,686303
90199,CBRE,86.31,-0.072833,304793,301879
90215,CRM,281.09,0.068215,968000,1154552
90248,DPZ,426.22,0.033937,34881,106615
90305,EXR,144.44,-0.099108,211278,245354
90319,GOOGL,140.10001,0.002935,5893000,5762001
90373,DLR,140.46001,0.043692,302852,373706
90386,MOS,30.71,-0.140498,326835,1018171
90454,MKTX,225.50999,-0.229947,37900,77010
90455,MPWR,602.71997,-0.044485,48028,98129
90505,LVS,48.92,-0.005893,753369,1093732
90520,CE,146.28999,-0.058441,108855,140698
90601,NDAQ,57.77,-0.006364,575159,491824
90664,DXCM,121.35,-0.022081,385400,537719
90720,BLDR,173.73,0.040673,123347,267170
90808,EXPE,148.33,-0.022795,130765,418321
90829,CF,75.51,-0.050189,191057,392402
90880,AMP,386.82999,0.018429,101196,119890
90993,ICE,127.33,-0.008565,572364,448886
91041,LYV,88.85,-0.050748,230325,400566
91068,CMG,2408.77002,0.053263,27445,41483
91103,UAL,41.38,0.002908,328019,2343103
