"gvkey","conm","price_2023","price_2024","eps_2023","eps_2024"
"319228","ATLANTIC LITHIUM LIMITED",0.252,0.1314,-0.0203,-0.0203
"293796","ATLAS ARTERIA LTD",5.33,NA,0.223,NA
"211531","ATLAS PEARLS LTD",0.078,0.125,0.0214,0.0737
"338241","ATOMO DIAGNOSTICS LTD",0.026,0.021,-0.0174,-0.0108
"329929","ATOMOS LIMITED",0.065,0.041,-0.1812,-0.061
"313355","ATRUM COAL LTD",0.005,NA,-0.0043,NA
"351434","ATTURRA LIMITED",0.855,1.02,0.0471,0.0359
"274487","AUB GROUP LTD",29.14,30.78,0.6536,1.2566
"222761","AUCKLAND INTL AIRPORT LTD",7.91,7.47,0.0293,0.0037
"298637","AUCTUS INVESTMENT GROUP LTD",0.72,0.55,-0.0039,0.0265
"344092","AUCYBER LIMITED",0.105,0.255,-0.1251,-0.351
"298262","AUDALIA RESOURCES LTD",0.012,0.018,-0.0013,-0.0014
"347506","AUDEARA LIMITED",0.038,0.056,-0.0288,-0.0111
"324873","AUDINATE GROUP LTD",13.53,9.78,0.1375,0.125
"271605","AUDIO PIXELS HOLDINGS LTD",6.2,NA,-0.5015,NA
"287096","AUKING MINING LTD",0.022,NA,-0.064,NA
"310593","AUMAKE LIMITED",0.004,0.008,-0.0033,-0.0036
"323769","AUMEGA METALS LTD",0.05,NA,-0.0129,NA
"277902","AURA ENERGY LTD",0.34,0.17,-0.0119,-0.0101
"284527","AURELIA METALS LTD",0.089,0.175,-0.0416,-0.0034
"345649","AURIC MINING LIMITED",0.185,NA,0.01,NA
"244396","AURIS MINERALS LTD",0.008,0.005,-0.0103,-0.0093
"295910","AURIZON HOLDINGS LTD",3.49,3.53,0.176,0.2206
"352942","AURORA ENERGY METALS LIMITED",0.16,0.053,-0.039,-0.0132
"322120","AURORA LABS LTD",0.021,0.075,-0.0144,-0.0099
"350754","AURUM RESOURCES LTD",0.11,0.48,-0.0402,-0.0371
"343912","AURUMIN LTD",0.027,0.047,-0.0346,-0.0086
"247361","AUSCANN GROUP HOLDINGS LTD",0.04,NA,-0.0243,NA
"293577","AUSGOLD LTD",0.032,0.475,-0.0025,-0.0036
"291797","AUSMON RESOURCES LTD",0.0035,0.003,-5e-04,-3e-04
"259261","AUSQUEST LTD",0.013,0.011,4e-04,3e-04
"340137","AUSSIE BROADBAND LTD",4.11,3.85,0.0914,0.0974
"232041","AUSTAL LTD",1.88,2.91,-0.038,0.041
"256540","AUSTCHINA HOLDINGS LTD",0.004,0.002,-6e-04,-7e-04
"271176","AUSTCO HEALTHCARE LTD",0.19,0.255,0.0078,0.0233
"272233","AUSTIN ENGINEERING LTD",0.265,0.535,0.0122,0.0507
"298267","AUSTIN METALS LTD",0.007,0.004,-6e-04,-6e-04
"248795","AUSTRAL GOLD LTD",0.026,NA,-0.0118,NA
"350398","AUSTRAL RESOURCES LTD",0.16,NA,0.0179,NA
"347377","AUSTRALASIAN METALS LIMITED",0.2,0.11,-0.0048,-0.0064
"300787","AUSTRALIA UNITED MINING LTD",0.003,0.002,-1e-04,-9e-04
"325303","AUSTRALIAN ADVENTURE TOURISM",0.055,0.06,0.0152,0.0167
"249874","AUSTRALIAN AGRICULTRL CO LTD",1.455,NA,-0.1584,NA
"259658","AUSTRALIAN AGRICULTURAL PROJ",0.02,0.036,0.0018,0.0037
"347733","AUSTRALIAN CLINICAL LABS LTD",2.85,3.67,0.179,0.1203
"357437","AUSTRALIAN CRITICAL MINE LTD",NA,0.08,NA,-0.0625
"278229","AUSTRALIAN DAIRY NUTRITIONAL",0.018,0.018,-0.0122,-0.0113
"346152","AUSTRALIAN GOLD AND COPPER",0.065,0.245,-0.0166,-0.0039
"253361","AUSTRALIAN MINES LTD",0.013,0.007,-0.0079,-0.0039
"274255","AUSTRALIAN OIL CO LTD",0.011,NA,9e-04,NA
"253431","AUSTRALIAN PACIFIC COAL LTD",0.12,0.17,-0.0523,-0.0274
"315788","AUSTRALIAN POTASH LTD",0.004,0.001,-0.0444,3e-04
"348777","AUSTRALIAN RARE EARTHS LTD",0.22,0.12,-0.0181,-0.0223
"286872","AUSTRALIAN SILICA QUARTZ GRP",0.05,0.022,-0.008,-9e-04
"339267","AUSTRALIAN STRATEGIC MATL",1.46,0.56,-0.1576,-0.1485
"282939","AUSTRALIAN VANADIUM LTD",0.029,0.014,-0.0017,-0.0024
"211545","AUSTRALIAN VINTAGE LTD",0.38,0.155,0.0159,-0.3653
"322010","AUSTRALIS OIL & GAS LTD",0.016,NA,-0.0121,NA
"322858","AUTOSPORTS GROUP LTD",2.48,2.07,0.3255,0.3028
"212381","AV JENNINGS LTD",0.395,0.31,0.0524,0.002
"319672","AVA RISK GROUP LIMITED",0.195,0.098,-0.0041,-0.0198
"351261","AVADA GROUP LIMITED",0.515,0.505,-0.0768,0.0182
"248181","AVECHO BIOTECHNOLOGY LTD",0.005,NA,-0.0015,NA
"279350","AVENIRA LTD",0.011,0.011,-0.0025,-0.0015
"315814","AVIRA RESOURCES LTD",0.002,0.001,-6e-04,-3e-04
"290327","AVZ MINERALS LTD",0.78,NA,-0.0039,NA
"278452","AXP ENERGY LIMITED",0.001,0.001,-0.0011,-2e-04
"260398","AZURE MINERALS LTD",2.7,NA,-0.0859,NA
"320481","BABY BUNTING GROUP LTD",2.12,1.805,0.0736,0.0372
"254385","BABYLON PUMP & POWER LTD",0.004,0.006,-6e-04,2e-04
"349208","BALKAN MINING AND MINERALS",0.2,0.052,-0.0904,-0.0349
"349043","BALLYMORE RESOURCES LTD",0.085,0.14,-0.0064,-0.0116
"272833","BANNERMAN ENERGY LTD",2.82,3.14,-0.0309,-0.0627
"317476","BAPCOR LTD",6.8,5.31,0.3136,-0.4664
"348712","BARTON GOLD HOLDINGS LIMITED",0.205,0.25,-0.0323,-0.0469
"289969","BASE RESOURCES LTD",0.17,0.255,-0.0042,-0.0011
"354345","BASIN ENERGY LTD",0.135,0.035,-0.02,-0.0303
"271294","BASS OIL LTD",0.063,NA,0.001,NA
"346772","BASTION MINERALS LIMITED",0.01,NA,-0.0362,NA
"247575","BATTERY AGE MINERALS LTD",0.275,0.115,-0.0679,-0.0402
"319914","BAUMART HOLDINGS LTD",0.1,0.084,-0.0021,-0.0323
"349597","BCAL DIAGNOSTICS LIMITED",0.105,0.125,-0.024,-0.026
"282001","BCI MINERALS LTD",0.265,0.29,0.0077,-0.0269
"101392","BEACH ENERGY LTD",1.64,1.215,0.1758,-0.2085
"317454","BEACON LIGHTING GROUP LTD",1.85,2.92,0.1505,0.1335
"279407","BEACON MINERALS LTD",0.025,0.022,0.0014,0.0024
"253426","BEAM COMMUNICATIONS HLDG LTD",0.17,0.14,0.024,-0.0207
"331957","BEAMTREE HOLDINGS LTD",0.225,0.315,-0.028,-0.0181
"298675","BEGA CHEESE LTD",2.52,5.26,-0.7566,0.1002
"351123","BELARAROX LIMITED",0.585,0.25,-0.0374,-0.0418
"353131","BELLAVISTA RESOURCES LTD",0.14,0.32,-0.0189,-0.0272
"274905","BELLEVUE GOLD LTD",1.385,1.32,-0.0228,0.0652
"324052","BENDIGO TELCO LTD",0.5,0.5,0.0081,-0.756
"248831","BEONIC LIMITED",0.032,0.03,-0.0241,-0.0171
"260379","BERKELEY ENERGIA LTD",0.38,0.36,-0.0031,-0.0073
"324494","BERONI GROUP LTD",3.96,NA,-0.4675,NA
"320280","BESTON GLOBAL FOOD CO LTD",0.006,NA,-0.0279,NA
"320960","BETMAKERS TECHNOLOGY GRP LTD",0.092,0.082,-0.0416,-0.0403
"013312","BHP GROUP LTD",44.25,45.96,2.5515,1.5582
"324119","BIG RIVER INDUSTRIES LTD",2.18,1.485,0.2676,0.0959
"323839","BIGTINCAN HOLDINGS LTD",0.365,0.16,-0.0472,-0.0231
"346144","BIKEEXCHANGE PTY LTD",0.006,NA,-0.0083,NA
"352967","BINDI METALS LIMITED",0.165,0.09,-0.066,-0.0395
"326026","BIO GENE TECHNOLOG",0.072,0.047,-0.0185,-0.013
"351050","BIOME AUSTRALIA LIMITED",0.14,0.7,-0.0153,-0.008
"248148","BIOTRON LTD",0.068,0.019,-0.0043,-0.0038
"249521","BIOXYNE LTD",0.014,0.013,-0.0014,-0.0066
"351492","BIRDDOG TECHNOLOGY LIMITED",0.13,0.066,-0.0273,-0.0868
"256982","BISALLOY STEEL GROUP LTD",2,3.35,0.2703,0.3304
"347210","BLACK CANYON LIMITED",0.12,0.065,-0.0391,-0.0297
"326367","BLACK CAT SYNDICATE LTD",0.21,0.46,-0.0203,-0.0126
"259429","BLACK ROCK MINING LTD",0.085,0.051,-0.0092,-0.0089
"324110","BLACKSTONE MINERAL LTD",0.125,0.037,-0.068,-0.0344
"248785","BLAZE MINERALS LIMITED",0.011,0.004,-0.0029,-0.0047
"248832","BLUE ENERGY LTD",0.013,0.009,-8e-04,-0.0074
"211523","BLUE STAR HELIUM LTD",0.007,NA,-0.0019,NA
"349362","BLUEBET HOLDINGS LTD",0.215,0.215,-0.0941,-0.2196
"298064","BLUECHIIP LTD",0.025,0.003,-0.0082,-0.0049
"252290","BLUESCOPE STEEL LTD",19.44,22.2,2.1617,1.7976
"279175","BLUGLASS LTD",0.039,0.025,-0.0086,-0.0063
"271275","BMG RESOURCES LTD",0.011,0.01,-0.0067,-0.0111
"271309","BOAB METALS LTD",0.135,0.12,-0.0358,-0.018
"314712","BOADICEA RESOURCES LTD",0.04,0.019,-0.0112,-0.0065
"284251","BOART LONGYEAR GROUP LTD",2.99,NA,0.0447,NA
"324102","BOD SCIENCE LIMITED",0.075,0.024,-0.0563,-0.0368
"258647","BOOM LOGISTICS LTD",0.115,0.14,-0.0121,0.0155
"234876","BORAL LTD",4.45,NA,0.1432,NA
"285491","BOSS ENERGY LIMITED",4.85,3.29,0.0356,0.1163
"353340","BOTALA ENERGY LTD",0.09,0.07,-0.01,-0.0128
"201669","BOTANIX PHARMACEUTICALS LTD",0.12,0.405,-0.0079,-0.0092
"253314","BOUNTY OIL & GAS NL",0.007,0.005,-0.0021,-6e-04
"247537","BPH GLOBAL LTD",0.0015,0.003,-0.0037,-0.0064
"345563","BPM MINERALS LIMITED",0.084,0.105,-0.0283,-0.0482
"307488","BRAINCHIP HOLDINGS LTD",0.31,NA,-0.0157,NA
"100461","BRAMBLES LTD",14.32,19.03,0.4662,0.5605
"278209","BRAVURA SOLUTIONS LTD",0.745,1.375,-0.9166,0.0196
"273809","BRAZILIAN CRITICAL MINERALS",0.026,0.012,-0.0099,-0.009
"242650","BREVILLE GROUP LTD",22,34.14,0.7723,0.8269
"209933","BRICKWORKS LTD",24.51,27.14,2.6633,-0.8698
"354132","BRIDGE SAAS LIMITED",0.036,0.02,-0.0764,-0.0189
"259418","BRIGHTSTAR RESOURCES LTD",0.011,0.017,0.0024,-0.0027
"253317","BRISBANE BRONCOS LTD",1.04,NA,0.0574,NA
"322560","BROO LTD",0.009,NA,-0.0016,NA
"275250","BROOKSIDE ENERGY LTD",0.014,NA,0.0034,NA
"324569","BRYAH RESOURCES",0.015,0.004,-0.0066,-0.0038
"242645","BSA LTD",0.6,1.02,0.0829,0.2617
"354346","BUBALUS RESOURCES LIMITED",0.19,0.115,-0.0246,-0.0111
"296392","BULLETIN RESOURCES LTD",0.079,0.048,0.0019,-0.0022
"314584","BURGUNDY DIAMOND MINES LTD",0.18,NA,-0.08,NA
"348958","BURLEY MINERALS LTD",0.18,0.07,-0.018,-0.053
"289556","BURU ENERGY LTD",0.115,NA,-0.0085,NA
"290338","BUXTON RESOURCES",0.21,0.062,-0.0183,-0.0232
"350276","C29 METALS LTD",0.077,0.067,-0.0601,-0.0523
"254395","CADOUX LIMITED",0.07,0.065,-0.0115,-0.0101
"278551","CALIMA ENERGY LTD",0.125,NA,-0.0045,NA
"327723","CALIX LTD",2.82,1.155,-0.1333,-0.1392
"316197","CAMBIUM BIO LTD",0.008,NA,-0.0055,NA
"348995","CAMPLIFY HOLDINGS LTD",2.07,1.26,-0.0629,-0.1136
"324146","CANN GROUP LTD",0.12,0.095,-0.0908,-0.1193
"272977","CANNINDAH RESOURCES LTD",0.115,0.042,-0.0035,-0.0026
"329497","CANTERBURY RESOURCES LTD",0.027,0.034,-0.006,-0.0044
"294867","CANYON RESOURCES LTD",0.048,0.096,-0.0054,-0.008
"276762","CAP-XX",0.0148,NA,-0.0105,NA
"201025","CAPE RANGE LTD",0.12,NA,-0.0059,NA
"278101","CAPITOL HEALTH LTD",0.21,0.365,-0.0108,-0.014
"101420","CAPRAL LIMITED",9.3,NA,1.7747,NA
"328125","CAPRICE RESOURCES LTD",0.036,0.028,-0.0127,-0.0085
"289353","CAPRICORN METALS LTD",4.12,5.75,0.0118,0.2313
"292734","CAR GROUP LTD",27.94,37.46,1.8126,0.6631
"281428","CARAVEL MINERALS LTD",0.16,0.18,-0.0244,-0.0123
"325932","CARAWINE RESOURCES LTD",0.15,0.094,-0.006,-0.0051
"283453","CARBINE RESOURCES LTD",0.005,NA,-0.0025,NA
"326221","CARBONXT GROUP LIM",0.064,0.068,-0.0247,-0.0273
"274416","CARDIEX LTD",0.135,0.059,-0.1452,-0.0337
"270850","CARDNO LTD",0.28,0.335,-0.0157,0.1931
"351625","CARETEQ LIMITED",0.022,0.012,-0.035,-0.0085
"253366","CARLY HOLDINGS LTD",0.017,0.013,-0.0178,-0.0157
"324099","CARNABY RESOURCES LTD",0.88,0.455,-0.0829,-0.0737
"248809","CARNARVON ENERGY LIMITED",0.16,0.155,-0.0023,-4e-04
"283454","CARNAVALE RESOURCES LTD",0.007,0.004,-2e-04,-2e-04
"221095","CARNEGIE CLEAN ENERGY LTD",0.002,0.038,0,-0.0074
"339783","CASPIN RESOURCES LTD",0.14,0.054,-0.1439,-0.0268
"278629","CASSIUS MINING LTD",0.031,0.006,-0.0019,-0.0029
"336572","CASTILE RESOURCES LTD",0.051,0.078,-0.0059,-0.0028
"296276","CASTILLO COPPER LTD",0.008,0.004,-0.0053,-0.0011
"277181","CASTLE MINERALS LTD",0.0095,0.003,-0.0054,-0.0024
"294022","CATALINA RESOURCES LTD",0.005,0.004,-0.0012,-7e-04
"278526","CATALYST METALS LTD",0.565,2.75,-0.1264,0.1069
"318957","CATAPULT GROUP INTL",1.89,NA,-0.0697,NA
"272294","CAULDRON ENERGY LTD",0.013,0.02,-0.0032,-0.0044
"352968","CAVALIER RESOURCES LTD",0.135,0.15,-0.0177,-0.017
"259002","CAZALY RESOURCES LTD",0.04,0.015,-0.0057,-0.0019
"235645","CELSIUS RESOURCES LTD",0.012,0.012,-0.0034,-0.001
"253482","CENTAURUS METALS LTD",0.3,NA,-0.0895,NA
"275680","CENTRAL PETROLEUM LTD",0.052,0.0545,-0.0109,0.0168
"278405","CENTREX LIMITED",0.074,0.04,-0.0156,-0.0264
"345968","CETTIRE LIMITED",2.88,1.865,0.0419,0.0278
"324095","CFOAM LTD",0.002,NA,-2e-04,NA
"275872","CHALICE MINING LTD",2.32,1.54,-0.1738,-0.1041
"287503","CHALLENGER GOLD LTD",0.08,NA,0.047,NA
"179107","CHAMPION IRON LTD",4.24,NA,0.45,NA
"321887","CHANGE FINANCIAL LTD",0.059,0.075,-0.0054,-0.0041
"348984","CHARGER METALS NL",0.125,0.086,-0.0267,-0.0337
"358383","CHARIOT CORPORATION LIMITED",0.29,NA,-0.1048,NA
"284813","CHESSER RESOURCES LTD",0.105,NA,-0.0084,NA
"356710","CHILWA MINERALS LIMITED",NA,0.98,NA,-0.026
"346047","CHIMERIC THERAPEUTICS LTD",0.028,0.014,-0.0598,-0.018
"308388","CHORUS LTD",7.07,7.95,0.0564,-0.0207
"353008","CHRYSOS CORPORATION LIMITED",6.29,5.75,0.0045,-0.0065
"260483","CIRRUS NETWORKS HOLDINGS LTD",0.06,NA,0.0019,NA
"211557","CITIGOLD CORP LTD",0.004,0.005,-8e-04,-8e-04
"241401","CITY CHIC COLLECTIVE LTD",0.38,0.135,-0.1942,-0.165
"295646","CLARA RESOURCES AUSTRALIA",0.023,0.009,-0.0711,-0.0278
"349739","CLARITY PHARMACEUTICALS LTD",1.17,8.38,-0.0948,-0.1549
"315417","CLASSIC MINERALS LTD",0.001,NA,-0.0116,NA
"274762","CLEAN SEAS SEAFOOD LTD",0.47,0.155,0.0362,-0.1812
"349405","CLEAN TEQ WATER LTD",0.39,0.33,-0.0951,-0.0504
"272847","CLEANAWAY WASTE MGMT LTD",2.43,2.94,0.0098,0.0703
