"gvkey","conm","2021","2022","2023","2024"
"202741","HAOMA MINING NL",NA,NA,NA,NA
"202929","KINGSGATE CONSOLIDATED LTD",1.58,1.57,1.21,1.39
"203007","HARVEY NORMAN HLDGS LTD",5.03,4.04,3.87,4.95
"203037","TOURISM HOLDINGS LTD",2.59,2.8,3.7,1.77
"203038","HELIX RESOURCES NL",0.018,0.0065,0.004,0.0045
"203071","HILLS LTD",0.12,0.065,NA,NA
"203209","DGL GROUP LIMITED",2.89,1.51,0.89,0.47
"203336","HORIZON MINERALS LTD",0.1,0.066,0.038,0.048
"203485","KORVEST LTD",5.47,7.15,8.45,10.37
"203545","LAKES BLUE ENERGY NL",0.0015,0.001,0.001,1
"204081","KINGSTON RESOURCES LTD",0.2,0.088,0.08,0.086
"205148","MICHAEL HILL INTL LTD",0.92,1.31,0.95,0.52
"205194","MINERAL RESOURCES LTD",44.81,65.75,67.63,52.04
"205282","MOUNT BURGESS MINING NL",0.006,0.005,0.003,0.002
"205371","OLDFIELDS HOLDINGS LTD",0.066,0.06,0.05,0.064
"206146","ORPHEUS URANIUM LTD",0.007,0.0015,0.075,0.051
"206196","DEMETALLICA LIMITED",NA,NA,NA,NA
"207014","NOVA MINERALS LTD",0.12,0.645,0.245,0.135
"207085","ADSLOT LTD",0.027,0.011,0.005,0.001
"207097","SONIC HEALTHCARE LTD",40.66,30.58,29.8,27.23
"207103","RIDLEY CORP LTD",1.34,2.04,2.3,2.62
"207300","FLIGHT CENTRE TRAVEL GROUP",21.46,14.22,19.38,22.35
"208001","ASARA RESOURCES LIMITED",0.006,0.042,0.026,0.015
"208012","INOVIQ LTD",1.09,0.53,0.56,0.5
"208079","SIMS LTD",13.33,13.38,13.53,12.66
"208239","K&S CORP LTD",1.7,1.925,2.46,3.52
"208326","SGH LIMITED",20.69,16.95,31.15,42.88
"208584","PRT COMPANY LIMITED",0.24,0.465,0.465,NA
"209221","SENETAS CORP",0.049,0.027,0.021,0.023
"209423","VILLAGE ROADSHOW LTD",NA,NA,NA,NA
"209518","JUMBO INTERACTIVE LTD",15.99,12.02,15.5,13.72
"209626","KAIROS MINERALS LTD",0.03,0.031,0.022,0.013
"210216","TELSTRA GROUP LIMITED",3.93,3.85,3.85,3.88
"210268","GREENVALE ENERGY LTD",0.35,0.06,0.075,0.026
"210805","PERENTI LTD",0.82,0.925,1.08,1.09
"210904","ELEVATE URANIUM LTD",0.535,0.485,0.55,0.4
"211365","NORWOOD SYSTEMS LTD",0.016,0.016,0.037,0.036
"211367","REGIS RESOURCES LTD",2.01,1.56,1.49,2.04
"211517","RESONANCE HEALTH LTD",0.09,0.056,0.079,0.06
"211528","ARB CORP",48.94,27.77,31.28,47.5
"211531","ATLAS PEARLS LTD",0.03,0.033,0.078,0.125
"211536","PRODIGY GOLD NL",0.038,0.01,0.009,0.002
"211545","AUSTRALIAN VINTAGE LTD",0.805,0.61,0.38,0.155
"211546","HEALTH AND PLANT PROTEIN GRP",0.19,0.075,0.042,0.042
"211557","CITIGOLD CORP LTD",0.011,0.006,0.004,0.005
"211559","OPTHEA LTD",1.33,1.17,0.33,0.775
"211574","ENVIRONMENTAL CLEAN TECH LTD",0.009,0.016,0.006,0.002
"211576","GLOBAL PETROLEUM LTD",0.0053,0.0031,0.0014,0.0021
"211585","SCHAFFER CORP",21.93,17.42,17.09,22.4
"212167","SKYCITY ENTERTAINMENT GROUP",3.2,2.71,1.93,1.38
